id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,fb_ads_active,fb_ads_creative_count,fb_ads_earliest_seen,google_ads_active,google_ads_creative_count,google_ads_days_active,google_ads_advertiser_name,priority,priority_score,created_at,top_pain_review
157,4,Regal Kitchens Chelmsford,Kitchen fitters / kitchen renovation,,,"Apiary Yard, 279A Beehive Ln, Great Baddow, Chelmsford CM2 8LU",https://regalkitchens.co.uk/,regalkitchens.co.uk,01245 351151,ChIJKT1nlHzp2EcRgkPHaOQrRzs,4.8,104,"MARTIN, Nicola",06832945,0,1,3,1702195200,1,11,,john martin,B,60,2026-08-09T11:52:08.474027+00:00,
163,4,Spires Interiors,Kitchen fitters / kitchen renovation,,,"2, Peartree Business Centre, Peartree Rd, Stanway, Colchester CO3 0JN",https://www.spiresinteriors.co.uk/,spiresinteriors.co.uk,01206 234864,ChIJAzGB0YIF2UcRZgnJLjy_Ngw,4.9,89,"SPIRES, Stephen Nicholas",11401044,0,1,50,1754636400,1,6,,Spires Interiors,B,59,2026-08-09T11:52:08.474646+00:00,
155,4,"Essex Fitters - Luxury Bathroom, Kitchen and Garage conversion specialists in Colchester",Kitchen fitters / kitchen renovation,,,"16 The Glade, Colchester, CO4 3JD",http://www.essexfitters.co.uk/,essexfitters.co.uk,07507 179498,ChIJ_y6DP70E2UcReP_kZubHWmU,4.9,79,"CUTLER, Kirsty",10856694,0,1,1,,1,2,,Essex Fitters colchester ltd,B,58,2026-08-09T11:52:08.473624+00:00,
161,4,Roman Kitchens,Kitchen fitters / kitchen renovation,,,"142 High St, Rayleigh, SS6 7BU",http://romankitchens.co.uk/,romankitchens.co.uk,01268 771776,ChIJzYMk1G_b2EcRBDM5kW2UkiE,4.2,78,"MCQUILLAN, Joanne",13649428,0,1,50,1752217200,1,2,,AD CONSULTANCY GROUP (ESSEX) LTD,B,58,2026-08-09T11:52:08.474500+00:00,
170,4,Britannia Design,Kitchen fitters / kitchen renovation,,,"42 Robjohns Rd, Chelmsford, CM1 3DP",https://www.britanniadesign.co.uk/,britanniadesign.co.uk,01245 392792,ChIJb2PUA0vq2EcR6S6NH2OITjI,4.9,60,"AKHTAR, Rao Muhammad Saleem",05928430,0,1,50,1752735600,1,16,,The Appliance Warehouse Ltd,B,58,2026-08-09T11:52:08.475265+00:00,
171,4,Brentwood Kitchen & Interiors Co. Ltd,Kitchen fitters / kitchen renovation,,,"Unit 10, Childerditch Ind. Est., Childerditch Hall Drive,, Little Warley, Brentwood, Essex, CM13 3HD",http://www.brentwoodkai.com/,brentwoodkai.com,01277 812284,ChIJjZlnCiO52EcRqWQwRZDfJU0,5.0,61,"NICOLA, Richard John",10305977,0,1,50,1754895600,1,3,,S.E.Easy Ltd,B,58,2026-08-09T11:52:08.475363+00:00,
156,4,Justfittedkitchens,Kitchen fitters / kitchen renovation,,,"7, The Stable Courtyard Reeds Farm, Roxwell Rd, Writtle, Chelmsford CM1 3ST",http://www.justfittedkitchens.com/,justfittedkitchens.com,01245 230787,ChIJBw0p4xHr2EcRhpR63qo3HdQ,4.9,52,"HORTON, Julie",05803151,0,1,3,1760598000,1,24,,Julie Horton,B,57,2026-08-09T11:52:08.473960+00:00,
182,4,Dream Doors Chelmsford,Kitchen fitters / kitchen renovation,,,"2A Victoria Ct, New St, Chelmsford, CM1 1GP",https://www.dreamdoors.co.uk/kitchen-showrooms/chelmsford?utm_source=google&utm_medium=organic&utm_campaign=googleBusinessProfile,dreamdoors.co.uk,01245 358990,ChIJAyr-Ztjr2EcRQyADbmceM0s,4.5,41,"DUNLOP, Benjamin James",17190664,0,1,38,1756882800,1,100,,Dream Doors Ltd,B,57,2026-08-09T11:52:08.476351+00:00,
169,4,Cube Installations | Kitchens | Bathrooms | Home Builder,Kitchen fitters / kitchen renovation,,,"Unit 2D, 91 London Rd, Copford, Colchester CO6 1LG",https://www.cubeinstallations.co.uk/,cubeinstallations.co.uk,01206 593590,ChIJ7Xr4XXpt2UcR_Nv7PYLGf_4,4.9,31,,CE037966,0,1,1,,1,20,,Matthew Marven,B,56,2026-08-09T11:52:08.475167+00:00,
173,4,The Kitchen & Makeover Company,Kitchen fitters / kitchen renovation,,,"36a Church Hill, Loughton, IG10 1LA",http://kitchensandmakeovers.com/,kitchensandmakeovers.com,020 8418 9192,ChIJq6pXUqWh2EcRgZaViEjdcCI,4.7,36,"LEIGHTON, Keith",15014505,0,1,50,1751353200,1,14,,JOHN LEWIS & SON WORLD OF KITCHENS & KITCHEN MAKEOVER STORE,B,56,2026-08-09T11:52:08.475559+00:00,
