id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,fb_ads_active,fb_ads_creative_count,fb_ads_earliest_seen,google_ads_active,google_ads_creative_count,google_ads_days_active,google_ads_advertiser_name,priority,priority_score,created_at,top_pain_review
178,4,Handmade Kitchen Co,Kitchen fitters / kitchen renovation,,,"Bridgers Barn, Jenkins Ln, Bishop's Stortford, CM22 7QL",https://handmadekitchen.co.uk/,handmadekitchen.co.uk,01279 506616,ChIJ52Qack6F2EcRVj_YFkdKaKE,5.0,32,"BRIDGER, Louis",09649741,0,1,50,1623481200,1,100,,HANDMADE KITCHEN CO (ESSEX) LIMITED,B,56,2026-08-09T11:52:08.476131+00:00,
179,4,Essex Bathrooms & Kitchens,Kitchen fitters / kitchen renovation,,,"Unit 32, Greenway Business Centre, Harlow Business Park, Harlow CM19 5QE",http://essexbathroomsandkitchens.co.uk/,essexbathroomsandkitchens.co.uk,01279 417300,ChIJpVNGh_ua2EcRKwBjJPJ6lLc,4.6,34,"BREEDEN, Ryan James",13102387,0,1,50,1752303600,1,13,,Essex Heating and Solar Limited,B,56,2026-08-09T11:52:08.476198+00:00,
162,4,Kitchens Renewed Essex Ltd,Kitchen fitters / kitchen renovation,,,"54 Birch Cres, South Ockendon, RM15 6TZ",https://www.kitchensrenewedessex.co.uk/,kitchensrenewedessex.co.uk,01268 977950,ChIJkcatnU-52EcRuFHcx2rwP7o,5.0,13,"LEADER, Alyson",14459414,0,1,1,,1,13,,Kitchens Renewed Essex Ltd,B,55,2026-08-09T11:52:08.474590+00:00,
175,4,Betterway Kitchens,Kitchen fitters / kitchen renovation,,,"Turners Cl, Chipping Ongar, Ongar, CM5 9HH",http://www.betterwaykitchens.co.uk/,betterwaykitchens.co.uk,07462 865093,ChIJI5wDDDlh_iYR8BU4lPQ10_8,5.0,18,"EXALL, Luke",12163189,0,1,4,1774940400,1,1,,luke exall,B,55,2026-08-09T11:52:08.475719+00:00,
184,4,Kesseler Kitchens of Witham - Luxury Kitchen Showroom,Kitchen fitters / kitchen renovation,,,"109-111 Newland St, Witham, CM8 1BE",https://www.kesseler.co.uk/showrooms/witham/?utm_source=google&utm_medium=organic&utm_campaign=Google_My_Business,kesseler.co.uk,01376 617667,ChIJS_bREIPl2EcRsB4RwxX5Too,4.9,12,"BUTLER, Jonathan Charles",15282994,0,1,15,1756364400,1,100,,Online Bedrooms Ltd,B,55,2026-08-09T11:52:08.476458+00:00,
159,4,NGUK KITCHENS,Kitchen fitters / kitchen renovation,,,"63 Butts Green Rd, Hornchurch, RM11 2JS",https://ngukgroup.co.uk/,ngukgroup.co.uk,07804 911096,ChIJf2psVCS72EcRjbMgW7-Wc1Y,5.0,115,"MUNTEANU, Denis",12921414,0,1,1,1770451200,0,0,,,B,40,2026-08-09T11:52:08.474194+00:00,
180,4,White Tail Studios,Kitchen fitters / kitchen renovation,,,"157 High St, Rayleigh, SS6 7QA",http://www.whitetailstudios.co.uk/,whitetailstudios.co.uk,01268 906630,ChIJoQPvXUvb2EcR7EOQMjCu6Y4,5.0,90,"CUTMORE, Charlotte",12494772,0,1,50,1728975600,0,0,,,B,39,2026-08-09T11:52:08.476244+00:00,
160,4,Holden and Salter Design | Build,Kitchen fitters / kitchen renovation,,,"Chelmsford, CM1 1LJ",http://www.holdenandsalterdb.com/,holdenandsalterdb.com,07753 110013,ChIJ-b-mYBbr2EcR_cL_W_Qn7Hg,5.0,46,"HOLDEN, Samuel",17156301,0,1,50,1611993600,0,0,,,B,37,2026-08-09T11:52:08.474421+00:00,
164,4,Emerson Interiors - Bespoke Kitchens Essex,Kitchen fitters / kitchen renovation,,,"8-9, Cranes Industrial Centre, Cranes Cl, Basildon SS14 3JB",http://emersoninteriors.co.uk/,emersoninteriors.co.uk,01268 525216,ChIJ7S-DjhLE2EcRzt0hXP_f264,4.9,56,"BROOMHEAD, Daniel Marc",09224277,0,1,1,,0,0,,,B,37,2026-08-09T11:52:08.474777+00:00,
172,4,Craig R Smith Ltd,Kitchen fitters / kitchen renovation,,,"CRS House, 60 Raymonds Dr, Benfleet, SS7 3PN",http://www.crs-designandinstallation.co.uk/,crs-designandinstallation.co.uk,01268 755047,ChIJN1QeyQbb2EcRe-BSMjjtWlM,5.0,54,"SMITH, Craig Robert",08323405,0,1,1,,0,0,,,B,37,2026-08-09T11:52:08.475472+00:00,
176,4,IKEA Kitchen Fitter,Kitchen fitters / kitchen renovation,,,"20 Kelsey Court, Arnos Grove, London, N11 1FG",https://www.xyzkitchens.co.uk/ikea-kitchen-fitter,xyzkitchens.co.uk,07380 268355,ChIJ7dQyAKVUDCwRsya9EjV2vrg,4.9,52,"SINGH, Charanjit",13797802,0,1,5,1776927600,0,0,,,B,37,2026-08-09T11:52:08.475770+00:00,
181,4,Sharp Space,Kitchen fitters / kitchen renovation,,,"21 Chapmans Walk, Southend-on-Sea, Leigh-on-Sea, SS9 2UZ",https://sharp-space.co.uk/,sharp-space.co.uk,01702 882188,ChIJXRvyTaTb2EcRgXndRwkRREY,5.0,45,"WHITE, Jordan James",14161792,0,1,50,1739433600,0,0,,,B,37,2026-08-09T11:52:08.476301+00:00,
154,4,P&D Bond Kitchen Fitters Ltd,Kitchen fitters / kitchen renovation,,,"2 Shipwrights Dr, Hadleigh, Benfleet, SS7 1RA",http://www.bondkitchens.co.uk/,bondkitchens.co.uk,07786 167616,ChIJrdrkJh_b2EcRZ8V4y4R6L0w,4.9,32,"BOND, Darren Paul",07963867,0,1,50,1755759600,0,0,,,B,36,2026-08-09T11:52:08.469617+00:00,
158,4,Mitch Foster Refurbishments,Kitchen fitters / kitchen renovation,,,"Barnfield, Wickford, SS11 8HP",http://www.mitchfosterrefurbishments.com/,mitchfosterrefurbishments.com,07973 871344,ChIJD973Y23D2EcRcmKeT8FffhM,5.0,21,"MITCHELL, Jamie Ashley",14240874,0,1,1,,0,0,,,B,36,2026-08-09T11:52:08.474122+00:00,
165,4,Evans Installations,Kitchen fitters / kitchen renovation,,,,https://evans-installations.co.uk/,evans-installations.co.uk,07931 425777,ChIJp5wBOyOiRKoRy3C9ANKPHwg,5.0,23,"EVANS, Joshua Laurie",15956552,0,1,50,1748847600,0,0,,,B,36,2026-08-09T11:52:08.474893+00:00,
174,4,Kitchencraft Design Studio,Kitchen fitters / kitchen renovation,,,"4a Eves Cor, Danbury, Chelmsford, CM3 4QF",http://kitchencraftdesignstudio.co.uk/,kitchencraftdesignstudio.co.uk,01245 222881,ChIJp7E3SmHk2EcR7y-nve3M0bQ,5.0,27,"KELLEHER, Stephen",11073393,0,1,1,1758092400,0,0,,,B,36,2026-08-09T11:52:08.475614+00:00,
183,4,A.H Joinery & Kitchens Ltd - Chelmsford,Kitchen fitters / kitchen renovation,,,"Unit 10 Humphrey's Farm Ln, Chelmsford, CM3 1EF",https://www.ah-joinery.com/,ah-joinery.com,07724 791547,ChIJ_UZQyCPt2EcRg1v6U2srTbY,5.0,26,"MARTIN, Paul",09176410,0,1,5,1758783600,0,0,,,B,36,2026-08-09T11:52:08.476414+00:00,
185,4,Paul Lucas Bathrooms & Kitchens,Kitchen fitters / kitchen renovation,,,"7 Fullbridge, Mill Ln, Maldon, CM9 4LE",https://plbk.co.uk/?referrer=gbp,plbk.co.uk,01621 853558,ChIJjffGpTrh2EcRSayEqNS2vtE,4.9,36,"BRAZIER, Paul Christopher",06894601,0,1,15,1762243200,0,0,,,B,36,2026-08-09T11:52:08.476515+00:00,
166,4,T M Kitchen Installations,Kitchen fitters / kitchen renovation,,,"373 Mill Rd, Highwoods, Colchester, CO4 5GG",https://www.tmki.co.uk/,tmki.co.uk,07719 306612,ChIJFw1RXROy9UURAHZn2HpET6g,5.0,18,"MCDOWELL, Nadine",12499654,0,1,50,1656918000,0,0,,,B,35,2026-08-09T11:52:08.474978+00:00,
167,4,Horizon Kitchens LTD,Kitchen fitters / kitchen renovation,,,"Highlands Farm, Southend Rd, Rettendon Common, Chelmsford CM3 8EB",http://www.horizon-kitchens.co.uk/,horizon-kitchens.co.uk,01245 477027,ChIJcb-6yI3p2EcRjEVRgvYf494,5.0,12,"LOOM, Robert Peter",04542885,0,1,1,,0,0,,,B,35,2026-08-09T11:52:08.475051+00:00,
168,4,Jennings Renovations LTD | Kitchen | Bathroom | Extension | Home Renovation,Kitchen fitters / kitchen renovation,,,"The Leys, Basildon, SS16 4BN",https://www.jenningsrenovations.co.uk/,jenningsrenovations.co.uk,01268 975385,ChIJcfHS1f_F2EcRVw3TycFZD9E,5.0,15,,CE037966,0,1,1,,0,0,,,B,35,2026-08-09T11:52:08.475099+00:00,
177,4,Hunters Brook LTD,Kitchen fitters / kitchen renovation,,,"Unit 2B, St James Centre, East Rd, Temple Fields, Harlow CM20 2SX",http://www.huntersbrook.co.uk/,huntersbrook.co.uk,01279 261461,ChIJ9yeqI8Sb2EcRA0AfnzZPRqE,4.3,19,"GODLEMAN, Chelsea",16130803,0,1,13,1772697600,0,0,,,B,35,2026-08-09T11:52:08.475876+00:00,
186,4,The Kitchen Fitter Pro,Kitchen fitters / kitchen renovation,,,,https://www.thekitchenfitterpro.co.uk/,thekitchenfitterpro.co.uk,07477 816518,ChIJe7smsmCn2EcRTAHdJ0IsMHI,5.0,11,"BERINDE, Ionut-Raul",13135445,0,1,50,1618210800,0,0,,,B,35,2026-08-09T11:52:08.476570+00:00,
